x,y
-0.262764228,0.478635187
1.090081301,0.380498845
0.699259259,0.195145084
1.901788618,0.119764242
3.233821138,0.638119334
4.29825784,0.535561756
3.660487805,0.35911345
5.419186992,0.187216973
6.095609756,0.500678069
7.313170732,0.187727288
8.936585366,0.383433158
9.186341463,0.553179406
10.89821138,0.458734946
12.16537669,0.375475926
11.69639024,0.305610093
15.2498645,0.419438728
17.86536585,0.418581115
17.7300813,0.669608339
18.94764228,0.534809953
20.73339837,0.435421516
24.9001626,0.690756296
25.25528455,0.508883379
26.25300813,0.824090311
28.14699187,0.516064072
28.14699187,0.313577085
28.68813008,0.66968352
31.29718931,0.46172247
31.21344173,0.324301602
34.06085947,0.549951039
33.7129849,0.431993292
33.07134959,0.291239618
33.91913279,0.239651857
36.99252033,0.606686233
36.80520325,0.7823037
39.65847746,0.623689542
40.47721254,0.445628145
40.77355014,0.381625791
42.23739837,1.056951051
42.81468549,0.653531789
43.49212544,0.490654021
43.84,1.039570894
45.54458537,0.551409776
45.19284553,0.734696631
45.86926829,0.40489829
47.89853659,1.099113739
47.35739837,0.531552137
48.57495935,0.987470904
49.25138211,0.792552833
50.87479675,1.144221956
52.22764228,1.021199547
52.22764228,0.852030067
52.01118699,0.670061092
53.51284553,0.600404817
55.20390244,1.1869244
55.20390244,0.902742637
56.28617886,0.557514422
56.55674797,1.325857707
58.0899729,1.179331184
58.23427642,0.948211719
58.74211382,0.505056522
60.18237398,1.115598286
59.75848238,1.004436605
60.07414634,0.567408157
61.42699187,1.304424469
62.94894309,1.197449651
63.32097561,1.441444094
63.86211382,1.317437506
65.75609756,1.074782641
66.02666667,1.229171207
66.83837398,1.522288953
68.73235772,1.119945534
67.6500813,1.241655703
71.16747967,1.419755699
73.87317073,1.201851119
73.19674797,1.419532436
74.95544715,1.521928087
76.84943089,1.240507494
76.84943089,1.343900993
81.44910569,1.144823398
81.9902439,1.310548251
83.92288037,1.183917186
84.42536585,1.335961947
86.99577236,1.012064906
88.48390244,1.285976576
90.10731707,1.390591187
90.82883469,1.256988784
93.08357724,1.442592303
94.70699187,1.139159811
96.53333333,1.480729249
99.03609756,1.489286141
101.7417886,1.470934641
101.8996206,1.345902462
102.824065,0.99506412
106.5733798,1.472942712
109.1437863,1.497810227
111.0012647,1.582611447
112.203794,1.654440155
114.1671545,1.509240727
115.8790244,1.432794252
118.5170732,1.53597998
118.1788618,1.418374658
118.956748,1.712134399
120.7898537,1.580334874
121.4353542,1.434507648
124.4695935,1.478391824
125.9577236,1.590567756
127.4458537,1.460580913
129.7306594,1.499451572
130.963252,1.364743723
133.9395122,1.329685071
136.3069919,1.246128934
139.3508943,1.206826692
142.1918699,1.245912582
142.3271545,1.151942295
144.9516748,1.12640421
146.7239024,1.03588817
148.820813,0.924701074
149.6325203,0.865272746
151.7970732,0.466997267
152.8793496,0.787347618
153.8263415,0.885481227
155.1942186,0.72148483
156.6673171,0.645525564
157.1746341,0.508045744
158.8318699,0.274535544
160.0494309,0.508572007
159.9141463,0.138609452
160.9964228,0.668480634
162.3853442,0.322099653
163.8373984,0.120716527
165.4414866,0.292578831
166.678374,0.460381396
167.5915447,0.16005465
166.9489431,0.328063961
