x,y
4.003610885,0.133947976
4.003158109,0.229438332
4.00289399,0.28514104
4.002799662,0.305034864
4.008780072,0.543766413
4.012440007,1.271886036
5.01196082,0.472946663
5.011621238,0.54456443
5.011149597,0.644033551
5.009602614,0.970292267
5.019563675,1.869504437
6.006519967,0.72042244
6.004897522,1.062596215
6.004029702,1.245619397
6.003576927,1.341109753
6.003256211,1.408748755
6.008331069,1.838461016
7.00868197,0.86445599
7.007078391,1.202651001
7.006889734,1.242438649
7.013681367,1.310083311
7.013568173,1.3339559
7.006304899,1.365780359
7.005720064,1.489122068
8.010089348,1.167640134
8.009693169,1.251194195
8.009598841,1.27108802
8.009466781,1.298939373
8.00856123,1.489920085
8.015239669,1.581437336
9.006780313,0.965515485
9.006120016,1.104772254
9.006025687,1.124666078
9.012798455,1.196289505
9.011741978,1.419100335
9.011289203,1.514590691
10.00418817,0.612197772
10.00386746,0.679836774
10.00371653,0.711666893
10.01052703,0.77533279
10.00294304,0.874796251
10.0080179,1.304508512
